"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.025,0.024,0.005,-0.0011468,0.00061451,6.2505e-25
0.075,0.024,0.005,-0.0018489,-0.00041822,-1.2983e-24
0.025,0.072,0.005,-0.00024197,0.0015607,3.2105e-25
0.125,0.024,0.005,-0.00091946,-0.0013025,7.6946e-39
0.075,0.072,0.005,0.00068348,-0.00031268,-1.2909e-24
0.025,0.12,0.005,0.00084646,0.00083829,8.0759e-25
0.175,0.024,0.005,0.00097744,-0.0019051,-1.1372e-38
0.125,0.072,0.005,0.0023861,-0.0021416,6.1316e-26
0.075,0.12,0.005,0.0023891,-0.0018735,-8.5327e-25
0.025,0.168,0.005,0.0013065,-0.00092732,1.0325e-24
0.225,0.024,0.005,0.003329,-0.0022697,4.417e-24
0.175,0.072,0.005,0.0047129,-0.0033339,-2.2646e-24
0.125,0.12,0.005,0.0046592,-0.0042908,-2.5499e-25
0.075,0.168,0.005,0.0035005,-0.0043494,1.3523e-24
0.025,0.216,0.005,0.001955,-0.0033992,-4.1947e-24
0.275,0.024,0.005,0.0061736,-0.0035258,0
0.225,0.072,0.005,0.0073959,-0.0039816,3.2415e-25
0.175,0.12,0.005,0.00719,-0.0057326,-1.9904e-24
0.125,0.168,0.005,0.0061202,-0.0068281,-7.7017e-25
0.075,0.216,0.005,0.0041769,-0.0070824,-1.3748e-24
0.025,0.264,0.005,0.0023227,-0.0063635,6.129e-24
0.325,0.024,0.005,0.0093893,-0.0034542,-6.9266e-25
0.275,0.072,0.005,0.010244,-0.0043725,1.683e-24
0.225,0.12,0.005,0.0098364,-0.0065252,-1.7401e-24
0.175,0.168,0.005,0.008771,-0.0082815,2.9573e-25
0.125,0.216,0.005,0.0069808,-0.0094467,4.3164e-25
0.075,0.264,0.005,0.0044892,-0.0098737,2.2068e-24
0.025,0.312,0.005,0.0023414,-0.0093562,5.7625e-24
0.375,0.024,0.005,0.012757,-0.003086,0
0.325,0.072,0.005,0.013084,-0.00447,-4.4326e-24
0.275,0.12,0.005,0.012484,-0.0069397,-2.7046e-24
0.225,0.168,0.005,0.011342,-0.0090541,8.4324e-25
0.175,0.216,0.005,0.009651,-0.010779,-5.6221e-39
0.125,0.264,0.005,0.007382,-0.012064,1.6511e-39
0.075,0.312,0.005,0.0045471,-0.012709,5.9808e-24
0.025,0.36,0.005,0.0022527,-0.012343,0
0.425,0.024,0.005,0.015857,-0.0027815,0
0.375,0.072,0.005,0.01585,-0.0043589,-4.3787e-24
0.325,0.12,0.005,0.015044,-0.007047,-9.8043e-25
0.275,0.168,0.005,0.013826,-0.0093837,2.1046e-24
0.225,0.216,0.005,0.012133,-0.011439,1.1709e-24
0.175,0.264,0.005,0.0099997,-0.01321,-5.712e-39
0.125,0.312,0.005,0.0074359,-0.014643,2.0102e-24
0.075,0.36,0.005,0.0044572,-0.015513,-3.1795e-24
0.025,0.408,0.005,0.0021298,-0.015235,6.3992e-25
0.475,0.024,0.005,0.01875,-0.0025318,-4.7747e-24
0.425,0.072,0.005,0.01857,-0.0041401,-2.9898e-24
0.375,0.12,0.005,0.017531,-0.0069116,-1.5427e-24
0.325,0.168,0.005,0.016201,-0.0093931,4.0792e-39
0.275,0.216,0.005,0.01448,-0.011651,1.175e-24
0.225,0.264,0.005,0.012378,-0.013706,2.0164e-24
0.175,0.312,0.005,0.0099598,-0.015552,1.6419e-24
0.125,0.36,0.005,0.0072504,-0.017135,1.4923e-24
0.075,0.408,0.005,0.0042665,-0.018202,1.924e-38
0.025,0.456,0.005,0.0019823,-0.017989,-5.2108e-24
0.525,0.024,0.005,0.021441,-0.0023134,-1.0056e-23
0.475,0.072,0.005,0.021199,-0.0038796,-5.3074e-24
0.425,0.12,0.005,0.01996,-0.0066325,1.594e-24
0.375,0.168,0.005,0.018484,-0.0091734,2.4246e-24
0.325,0.216,0.005,0.016702,-0.011554,-8.8524e-39
0.275,0.264,0.005,0.014597,-0.013778,-1.707e-25
0.225,0.312,0.005,0.012223,-0.015858,-1.0189e-24
