"Points:0","Points:1","Points:2","U:0","U:1","U:2","blendedIndicatorU","k","nut","omega","p"
0.025,0.024,0.005,-0.0012606,0.00049293,0,0,6.3051e-08,2.9681e-08,2.1243,0.0152
0.075,0.024,0.005,-0.002912,0.0006546,-1.2711e-24,0,3.452e-07,1.625e-07,2.1243,0.015196
0.025,0.072,0.005,-0.00094455,0.0020162,-1.174e-24,0,1.6039e-07,8.1926e-08,1.9578,0.015195
0.125,0.024,0.005,-0.0042304,-0.00020358,1.3375e-39,0,1.1492e-06,5.4099e-07,2.1243,0.015194
0.075,0.072,0.005,-0.0017421,0.0018971,-8.886e-24,0,1.3987e-06,1.6791e-06,0.83297,0.015189
0.025,0.12,0.005,-0.00039345,0.0027955,-8.3414e-25,0,7.9536e-08,4.0626e-08,1.9578,0.015189
0.175,0.024,0.005,-0.0046396,-0.0010591,-1.204e-38,0,3.1708e-06,1.4926e-06,2.1243,0.015201
0.125,0.072,0.005,-0.0020441,0.00089228,2.4302e-24,0,5.1038e-06,7.6986e-06,0.66296,0.015185
0.075,0.12,0.005,-0.00013698,0.0025005,1.886e-24,0,1.4458e-06,2.581e-06,0.56019,0.015185
0.025,0.168,0.005,2.7829e-05,0.0024899,-2.8493e-25,0,8.8376e-08,4.5141e-08,1.9578,0.015187
0.225,0.024,0.005,-0.0028979,-0.0017507,9.8768e-24,0,7.2864e-06,3.43e-06,2.1243,0.01522
0.175,0.072,0.005,-0.00042892,-0.00095058,-7.19e-24,0,1.52e-05,3.0717e-05,0.49485,0.01519
0.125,0.12,0.005,0.00080788,0.00029403,0,0,8.9098e-06,2.1607e-05,0.41236,0.015183
0.075,0.168,0.005,0.00064512,0.001735,-1.6857e-24,0,2.3189e-06,4.1769e-06,0.55519,0.015186
0.025,0.216,0.005,0.00024334,0.0019549,-4.1197e-25,0,1.9869e-07,1.0149e-07,1.9578,0.015187
0.275,0.024,0.005,-0.00045829,-0.0023766,-3.4471e-24,0,1.1868e-05,5.5866e-06,2.1243,0.015242
0.225,0.072,0.005,0.0018941,-0.003123,-4.1313e-24,0,2.8136e-05,5.3784e-05,0.52313,0.015207
0.175,0.12,0.005,0.003064,-0.0030916,6.7471e-25,0,2.2996e-05,5.2197e-05,0.44055,0.015186
0.125,0.168,0.005,0.0025487,-0.0016998,9.0367e-25,0,1.5061e-05,3.0228e-05,0.49823,0.015185
0.075,0.216,0.005,0.0011796,0.00016356,9.7414e-25,0,5.3609e-06,8.0045e-06,0.66974,0.015188
0.025,0.264,0.005,0.00032494,0.0012218,1.9087e-24,0,4.4454e-07,2.2707e-07,1.9578,0.015186
0.325,0.024,0.005,0.003499,-0.00301,-3.3188e-24,0,1.5841e-05,7.4571e-06,2.1243,0.01526
0.275,0.072,0.005,0.005023,-0.004683,4.8527e-24,0,3.9006e-05,7.1566e-05,0.54503,0.015227
0.225,0.12,0.005,0.0061282,-0.0061127,-3.5907e-24,0,3.6179e-05,7.8225e-05,0.46249,0.015198
0.175,0.168,0.005,0.0059778,-0.0061231,5.0775e-25,0,2.9854e-05,5.8526e-05,0.5101,0.015186
0.125,0.216,0.005,0.0043904,-0.0048703,3.48e-26,0,2.1659e-05,3.4921e-05,0.62021,0.015188
0.075,0.264,0.005,0.0023526,-0.0027115,0,0,1.0601e-05,1.2179e-05,0.87041,0.015189
0.025,0.312,0.005,0.00055697,-6.1077e-05,2.0049e-24,0,9.8059e-07,5.0087e-07,1.9578,0.015184
0.375,0.024,0.005,0.0060892,-0.003801,0,0,1.8786e-05,8.8432e-06,2.1243,0.015262
0.325,0.072,0.005,0.0086813,-0.005393,-3.2629e-24,0,4.8155e-05,8.6802e-05,0.55478,0.015236
0.275,0.12,0.005,0.0095432,-0.0080161,-3.7245e-24,0,4.7984e-05,9.8369e-05,0.46552,0.015209
0.225,0.168,0.005,0.0097901,-0.0095864,-1.3794e-25,0,4.2978e-05,8.6353e-05,0.49771,0.01519
0.175,0.216,0.005,0.008934,-0.010077,-3.4046e-39,0,3.6922e-05,6.3799e-05,0.57872,0.015184
0.125,0.264,0.005,0.0069248,-0.0093369,1.2884e-39,0,2.8106e-05,3.9062e-05,0.71952,0.015187
