"Points:0","Points:1","Points:2","U:0","U:1","U:2","blendedIndicatorU","k","nut","omega","p"
0.025,0.024,0.005,0.0013714,-0.0019643,0,0,8.3594e-07,3.9351e-07,2.1243,0.017929
0.075,0.024,0.005,0.0041364,-0.0025798,-1.6081e-24,0,3.1491e-06,1.4824e-06,2.1243,0.01792
0.025,0.072,0.005,0.0028139,-0.0049712,-1.1492e-24,0,3.0228e-06,1.544e-06,1.9578,0.017913
0.125,0.024,0.005,0.0086842,-0.0024811,-1.149e-38,0,4.7368e-06,2.2298e-06,2.1243,0.017886
0.075,0.072,0.005,0.0060509,-0.0057263,-1.5671e-23,0,1.1559e-05,1.0571e-05,1.0934,0.0179
0.025,0.12,0.005,0.0027388,-0.0094592,-9.6539e-25,0,6.1078e-06,3.1198e-06,1.9578,0.017879
0.175,0.024,0.005,0.01223,-0.002155,1.6043e-38,0,5.2911e-06,2.4907e-06,2.1243,0.017843
0.125,0.072,0.005,0.010154,-0.0051381,1.1036e-23,0,1.8329e-05,2.2156e-05,0.82726,0.017858
0.075,0.12,0.005,0.0059645,-0.0096323,3.9622e-24,0,2.1629e-05,2.1001e-05,1.0299,0.017862
0.025,0.168,0.005,0.0023417,-0.013371,-8.6219e-25,0,9.9826e-06,5.099e-06,1.9578,0.017827
0.225,0.024,0.005,0.014427,-0.0015715,-3.7786e-24,0,4.9242e-06,2.318e-06,2.1243,0.017802
0.175,0.072,0.005,0.013227,-0.0039602,4.109e-25,0,2.1744e-05,3.1226e-05,0.69632,0.017811
0.125,0.12,0.005,0.0097071,-0.0083429,4.8425e-24,0,3.2516e-05,4.5075e-05,0.72138,0.017816
0.075,0.168,0.005,0.0054673,-0.012937,3.3157e-24,0,3.364e-05,3.4988e-05,0.96148,0.017808
0.025,0.216,0.005,0.0018656,-0.016886,-6.6862e-24,0,1.4585e-05,7.4498e-06,1.9578,0.017772
0.275,0.024,0.005,0.015608,-0.00098501,7.3555e-24,0,3.9738e-06,1.8706e-06,2.1243,0.017765
0.225,0.072,0.005,0.015445,-0.0024908,4.2429e-24,0,2.2435e-05,3.6109e-05,0.62131,0.017768
0.175,0.12,0.005,0.01223,-0.006459,-1.4048e-23,0,3.7442e-05,6.507e-05,0.57541,0.017771
0.125,0.168,0.005,0.0085278,-0.010858,-9.3749e-24,0,4.7976e-05,7.3966e-05,0.64862,0.017763
0.075,0.216,0.005,0.0047055,-0.015719,-5.6369e-24,0,4.7293e-05,5.33e-05,0.88731,0.01775
0.025,0.264,0.005,0.0013528,-0.019797,3.9504e-24,0,1.9886e-05,1.0158e-05,1.9578,0.017722
0.325,0.024,0.005,0.015868,-0.00044025,7.8927e-25,0,2.889e-06,1.36e-06,2.1243,0.017741
0.275,0.072,0.005,0.01684,-0.00099425,1.0349e-24,0,2.1273e-05,3.6873e-05,0.57693,0.017734
0.225,0.12,0.005,0.013922,-0.0043079,-5.6372e-24,0,3.8133e-05,7.7812e-05,0.49006,0.01773
0.175,0.168,0.005,0.010448,-0.0081447,1.3264e-24,0,5.3379e-05,0.00010642,0.50157,0.01772
0.125,0.216,0.005,0.0069554,-0.012778,3.0802e-24,0,6.46e-05,0.00011181,0.57778,0.017711
0.075,0.264,0.005,0.0038055,-0.017814,4.1006e-24,0,6.2232e-05,7.632e-05,0.81541,0.017699
0.025,0.312,0.005,0.00084915,-0.022064,2.5795e-24,0,2.5876e-05,1.3217e-05,1.9578,0.017687
0.375,0.024,0.005,0.015268,5.9946e-05,0,0,2.1167e-06,9.9644e-07,2.1243,0.017734
0.325,0.072,0.005,0.017516,0.00031492,-4.702e-24,0,1.8855e-05,3.3248e-05,0.56711,0.017715
0.275,0.12,0.005,0.014949,-0.002163,-8.1162e-24,0,3.6209e-05,8.3106e-05,0.43569,0.017701
0.225,0.168,0.005,0.01163,-0.0052801,2.5706e-24,0,5.3069e-05,0.0001266,0.41919,0.017685
0.175,0.216,0.005,0.0082659,-0.0093337,-1.8407e-38,0,6.9657e-05,0.00015842,0.4397,0.017673
0.125,0.264,0.005,0.0052494,-0.014063,5.9412e-39,0,8.1899e-05,0.00015844,0.51691,0.017666
0.075,0.312,0.005,0.0028583,-0.019239,2.8317e-24,0,7.811e-05,0.00010376,0.75276,0.017661
0.025,0.36,0.005,0.00033386,-0.023676,0,0,3.2563e-05,1.6633e-05,1.9578,0.017671
0.425,0.024,0.005,0.013912,0.00052907,0,0,1.5266e-06,7.1863e-07,2.1243,0.017741
0.375,0.072,0.005,0.017252,0.0014422,-6.4739e-24,0,1.6066e-05,2.642e-05,0.60812,0.017713
0.325,0.12,0.005,0.01535,-0.0002107,2.3711e-24,0,3.2853e-05,8.1674e-05,0.40225,0.017685
0.275,0.168,0.005,0.012242,-0.0025476,3.1032e-24,0,4.9567e-05,0.00013454,0.36842,0.01766
0.225,0.216,0.005,0.0089884,-0.0059247,3.2589e-24,0,6.7473e-05,0.00018511,0.36451,0.017643
0.175,0.264,0.005,0.0060458,-0.010061,-1.0956e-38,0,8.5905e-05,0.00021835,0.39343,0.017635
0.125,0.312,0.005,0.0035778,-0.014838,1.6089e-24,0,9.9534e-05,0.00021007,0.47382,0.017636
0.075,0.36,0.005,0.0019197,-0.020043,-6.4287e-25,0,9.4612e-05,0.0001347,0.70238,0.017643
0.025,0.408,0.005,-0.00015781,-0.024643,-8.7353e-25,0,3.9997e-05,2.043e-05,1.9578,0.017678
0.475,0.024,0.005,0.011957,0.00083389,3.2035e-24,0,1.0632e-06,5.0051e-07,2.1243,0.017759
0.425,0.072,0.005,0.016357,0.0024043,-2.4204e-24,0,1.3075e-05,1.922e-05,0.6803,0.017726
0.375,0.12,0.005,0.015215,0.0016009,-3.2435e-24,0,2.8779e-05,7.2894e-05,0.39481,0.017687
0.325,0.168,0.005,0.012349,-6.7421e-05,-6.1319e-39,0,4.4686e-05,0.00013248,0.33732,0.01765
0.275,0.216,0.005,0.0092466,-0.002726,3.0385e-24,0,6.1677e-05,0.00019305,0.31948,0.017624
0.225,0.264,0.005,0.0063989,-0.0062068,2.7939e-24,0,8.1275e-05,0.00024787,0.32789,0.01761
0.175,0.312,0.005,0.0039648,-0.010415,1.3013e-24,0,0.00010211,0.00027889,0.36612,0.017609
0.125,0.36,0.005,0.0020243,-0.015176,-1.0255e-24,0,0.00011736,0.00026197,0.44799,0.017623
0.075,0.408,0.005,0.0010178,-0.020305,-4.2169e-39,0,0.00011141,0.00016718,0.66641,0.017645
0.025,0.456,0.005,-0.000629,-0.025005,3.2354e-24,0,4.8324e-05,2.4683e-05,1.9578,0.017705
0.525,0.024,0.005,0.0096423,0.001002,7.551e-24,0,7.0246e-07,3.3068e-07,2.1243,0.01778
0.475,0.072,0.005,0.014856,0.0030973,1.0645e-24,0,1.0125e-05,1.3309e-05,0.76072,0.017749
0.425,0.12,0.005,0.014582,0.0031152,-2.2789e-24,0,2.4315e-05,5.8727e-05,0.41403,0.017703
0.375,0.168,0.005,0.012019,0.0021185,6.1781e-24,0,3.9271e-05,0.00012139,0.32351,0.017656
0.325,0.216,0.005,0.0090772,0.00016824,6.6785e-39,0,5.4797e-05,0.00018741,0.29239,0.017619
0.275,0.264,0.005,0.0063339,-0.0026005,-1.5097e-24,0,7.2784e-05,0.00025243,0.28833,0.017596
0.225,0.312,0.005,0.0039795,-0.0061816,-1.0887e-24,0,9.4992e-05,0.00030706,0.30936,0.017588
0.175,0.36,0.005,0.0020521,-0.010431,-1.5354e-24,0,0.00011859,0.00033394,0.35513,0.017598
0.125,0.408,0.005,0.00059918,-0.01512,4.2173e-39,0,0.00013537,0.00030959,0.43725,0.017627
0.075,0.456,0.005,0.00017134,-0.0201,-9.6506e-26,0,0.00012826,0.00019836,0.64661,0.017668
0.025,0.50502,0.005,-0.0010273,-0.024791,2.121e-25,0,5.7889e-05,2.9569e-05,1.9578,0.017754
0.575,0.024,0.005,0.0072487,0.001009,9.035e-26,0,4.33e-07,2.0383e-07,2.1243,0.017798
0.525,0.072,0.005,0.012948,0.0034169,-1.367e-38,0,7.4343e-06,8.964e-06,0.82935,0.017775
0.475,0.12,0.005,0.013505,0.0042496,-2.3925e-24,0,1.9711e-05,4.336e-05,0.45458,0.017731
0.425,0.168,0.005,0.011323,0.0039914,1.1508e-38,0,3.3602e-05,0.00010256,0.32765,0.017677
