,Laser-doppler measurements of the isothermal two dimensional test case.,,,,,,,,,
,,,,,,,,,,
,"These measurements are taken from the ""Specifcation of the two dimensional test case"" by Peter V. Nielsen, november 1990. ",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Measured mean and rms velocity in the symmetri plane,,,,,,,,,
,,,,,,,,,,
,x=H,Re=5000,,,x=2H,Re=5000,,,,
,y=x/H,Mean,RMS,,y=x/H,Mean,RMS,,,
,[-],[-],[-],,[-],[-],[-],,,
,0.024,0.768,0.116,,0.010,0.591,0.130,,,
,0.044,0.782,0.138,,0.021,0.629,0.124,,,
,0.063,0.753,0.142,,0.036,0.635,0.120,,,
,0.076,0.689,0.150,,0.052,0.634,0.119,,,
,0.088,0.628,0.159,,0.067,0.615,0.115,,,
,0.109,0.504,0.155,,0.097,0.550,0.123,,,
,0.147,0.342,0.148,,0.124,0.496,0.126,,,
,0.187,0.231,0.139,,0.166,0.403,0.125,,,
,0.220,0.162,0.117,,0.212,0.302,0.117,,,
,0.295,0.075,0.108,,0.282,0.179,0.122,,,
,0.363,0.031,0.104,,0.355,0.091,0.122,,,
,0.424,-0.007,0.095,,0.422,0.041,0.133,,,
,0.507,-0.043,0.081,,0.498,-0.032,0.125,,,
,0.583,-0.074,0.077,,0.571,-0.086,0.131,,,
,0.653,-0.098,0.091,,0.642,-0.158,0.139,,,
,0.720,-0.106,0.095,,0.707,-0.214,0.149,,,
,0.793,-0.113,0.102,,0.776,-0.248,0.174,,,
,0.832,-0.118,0.105,,0.818,-0.267,0.173,,,
,0.861,-0.117,0.109,,0.851,-0.277,0.172,,,
,0.885,-0.121,0.105,,0.878,-0.286,0.160,,,
,0.909,-0.120,0.092,,0.901,-0.296,0.152,,,
,0.931,-0.116,0.109,,0.923,-0.306,0.146,,,
,0.952,-0.114,0.096,,0.944,-0.317,0.141,,,
,0.970,-0.111,0.086,,0.960,-0.322,0.129,,,
,0.987,-0.099,0.101,,0.974,-0.309,0.114,,,
,,,,,,,,,,
,Measured mean and rms velocity near the top and bottom walls in the symmetri plane,,,,,,,,,
,,,,,,,,,,
,y=h/2,Re=5000,,,y=H-h/2,Re=5000,,,,
,y=x/H,Mean,RMS,,y=x/H,Mean,RMS,,,
,[-],[-],[-],,[-],[-],[-],,,
,0.004,1.081,0.084,,0.051,0.041,0.075,,,
,0.179,1.066,0.098,,0.120,0.052,0.073,,,
,0.340,1.036,0.112,,0.178,0.047,0.089,,,
,0.491,0.976,0.145,,0.225,0.037,0.084,,,
,0.662,0.917,0.153,,0.276,0.030,0.089,,,
,0.835,0.867,0.155,,0.330,0.017,0.076,,,
,1.001,0.825,0.149,,0.388,0.008,0.084,,,
,1.160,0.788,0.149,,0.466,-0.008,0.090,,,
,1.325,0.750,0.134,,0.508,-0.018,0.098,,,
,1.506,0.716,0.130,,0.559,-0.010,0.092,,,
,1.686,0.693,0.130,,0.614,-0.030,0.103,,,
,1.832,0.666,0.130,,0.677,-0.043,0.099,,,
,2.002,0.644,0.132,,0.777,-0.061,0.109,,,
,2.186,0.617,0.128,,0.897,-0.072,0.114,,,
,2.300,0.594,0.132,,1.012,-0.094,0.103,,,
,2.402,0.565,0.143,,1.188,-0.132,0.106,,,
,2.493,0.509,0.151,,1.346,-0.169,0.113,,,
,2.625,0.454,0.166,,1.512,-0.202,0.112,,,
,2.678,0.388,0.174,,1.668,-0.252,0.116,,,
,2.703,0.311,0.185,,1.854,-0.301,0.115,,,
,2.735,0.243,0.186,,2.020,-0.320,0.117,,,
,2.767,0.148,0.189,,2.188,-0.321,0.123,,,
,2.796,0.071,0.196,,2.359,-0.299,0.118,,,
,2.826,-0.023,0.181,,2.520,-0.252,0.141,,,
,2.833,-0.133,0.160,,2.694,-0.162,0.132,,,
,2.865,-0.200,0.161,,2.804,-0.067,0.120,,,
,2.905,-0.189,0.151,,2.912,0.068,0.124,,,
,2.946,-0.148,0.129,,2.980,0.225,0.111,,,
